attack_type,temporal_only_recall,temporal_only_f1,fusion_recall,fusion_f1,recall_improvement
step,0.9875,0.9937106918238994,1.0,1.0,0.012499999999999956
drift,0.975,0.9873417721518988,0.9916666666666667,0.99581589958159,0.01666666666666672
evasive,0.59,0.7421383647798742,0.64,0.7804878048780488,0.050000000000000044
OVERALL,0.8307692307692308,0.9,0.8589743589743589,0.9241379310344827,0.028205128205128105
