attack_configuration,attack_bias_m,epochs,n_attacked_satellites,mean_attack_fraction,mean_clean_position_error_m,mean_attack_position_error_m,mean_delta_position_m,p95_delta_position_m,max_delta_position_m,mean_delta_clock_m,median_delta_clock_m,mean_attack_residual_m,p95_attack_residual_m,max_attack_residual_m,mean_abnormal_20m,max_abnormal_20m,mean_abnormal_50m,max_abnormal_50m,mean_sign_consistency,attack_convergence_rate
1_satellites,20.0,3361,1,0.13386853402473753,83.46046426347253,87.45619642679898,11.352403333299431,23.250311480848385,34.971098973564324,3.6177896480622675,1.6860894105895738,4.990527093568961,10.187600408215076,79.09380315616727,0.11365664980660518,7,0.002975304968759298,3,0.5831754768752686,1.0
1_satellites,50.0,3361,1,0.13386853402473753,83.46046426347253,95.47902137451497,28.380995366791954,58.12571969174482,87.42768108920855,9.044463310371667,4.2152195164130575,10.39361599193247,14.13338308269158,81.47233476117253,1.106218387384707,6,0.0050580184468908065,3,0.5783207709345763,1.0
1_satellites,100.0,3361,1,0.13386853402473753,83.46046426347253,112.53831026735686,56.76194751258297,116.25124269725018,174.8551410792341,18.088890588558094,8.430425652270713,20.460866748854997,24.457566583263024,90.15051337704062,2.673609044927105,6,0.7750669443617971,4,0.580592746867665,1.0
1_satellites,500.0,3361,1,0.13386853402473753,83.46046426347253,307.85712180430716,283.8080087586333,581.248345936202,874.2668615748503,90.44301166784001,42.15159301780214,104.82312277977901,119.2002309347902,322.24071737378836,6.863731032430824,10,5.439155013388873,8,0.5870519922736525,1.0
2_satellites,20.0,3361,2,0.26773706804947506,83.46046426347253,83.00016743960558,16.287582980179625,28.570810303498867,76.61542403777831,-1.7171018939758378,-2.8889284834955546,7.858403928711895,11.82855763126697,79.79382908716798,0.21927997619756026,7,0.0044629574531389465,4,0.6036035429742659,1.0
2_satellites,50.0,3361,2,0.26773706804947506,83.46046426347253,88.01739750534986,40.718968290222286,71.42706764043331,191.53834133874997,-4.292786230487289,-7.222336193394121,17.79490636715678,20.735858277550765,85.87688340619206,2.812555786968164,7,0.017851829812555786,4,0.6241933617640252,1.0
2_satellites,100.0,3361,2,0.26773706804947506,83.46046426347253,106.50636888521286,81.43797271409787,142.8542749643764,383.0759535082444,-8.58567744513364,-14.444722336759988,35.024838498410034,39.47636315705521,106.42819276079535,5.513537637607855,8,1.7229991074085094,5,0.6313394067336346,1.0
2_satellites,500.0,3361,2,0.26773706804947506,83.46046426347253,381.1556171168097,407.1913090309707,714.2769625647738,1915.3506059689373,-42.932586618980956,-72.22560962802868,173.90655657744009,195.95911163357752,416.7756936661899,7.283249033025885,10,6.732817613805415,9,0.640117382865077,1.0
3_satellites,20.0,3361,3,0.4016056020742126,83.46046426347253,76.75313568179295,28.568712696646134,48.42040316354264,103.12835770733297,-9.754810572217872,-9.481855860893543,8.146811747227304,13.40688009839505,83.23839055001736,0.21838738470693245,7,0.005355548943766736,4,0.584945429128708,1.0
3_satellites,50.0,3361,3,0.4016056020742126,83.46046426347253,81.00211170776517,71.42185352888326,121.05120815745606,257.82093002616693,-24.387119464625496,-23.70469713265595,17.704465062664966,22.423790098167956,91.83379927277565,3.2305861350788456,7,0.018446890806307646,5,0.5858952834332185,1.0
3_satellites,100.0,3361,3,0.4016056020742126,83.46046426347253,117.53489587100904,142.84394635077837,242.10308384382952,515.6419793059518,-48.77454904420055,-47.409585847456576,34.098422104934485,41.36228974748935,108.03067622706294,5.772389169889914,8,1.5751264504611722,6,0.5893728482169422,1.0
3_satellites,500.0,3361,3,0.4016056020742126,83.46046426347253,650.829968982505,714.2293040001753,1210.5421213390148,2578.2146772790707,-243.88515022024976,-237.05559261765276,166.34636117930742,204.45953163611037,371.08837339282036,7.227015769116335,10,6.537935138351681,9,0.5910799884765966,1.0
50_percent,20.0,3361,5,0.6693426701236876,83.46046426347253,68.86257192053236,35.350854324512724,51.23095601725937,58.54320700463182,-8.641477160197418,-7.717912538594192,4.833004303231244,10.873840144369751,80.7945377677679,0.10830110086283844,6,0.0035703659625111574,3,0.5786191279050547,1.0
50_percent,50.0,3361,5,0.6693426701236876,83.46046426347253,70.68588622733627,88.3772447769221,128.0776513832857,146.35834083353467,-21.603818032538246,-19.294884754257964,8.397794300446696,12.992964643985033,85.72417757287621,0.32906872954477834,7,0.0050580184468908065,3,0.5814370486863792,1.0
50_percent,100.0,3361,5,0.6693426701236876,83.46046426347253,124.52751634266993,176.75485277560966,256.15617399340937,292.7177593453947,-43.208053174328406,-38.590114205715736,15.094720895583967,19.845308338957174,93.94024842604995,2.2356441535257363,7,0.011603689378161261,4,0.5888525240503818,1.0
50_percent,500.0,3361,5,0.6693426701236876,83.46046426347253,821.3434737508699,883.7887933007747,1280.815720101804,1463.6319060760652,-216.05695073088924,-192.9643591695699,72.43775101259703,92.28337542464335,229.5749517865479,6.352276108301101,10,4.951502529009224,8,0.58121165752823,1.0
