t,attack_bias_m,estimated_x_m,estimated_y_m,estimated_z_m,true_x_m,true_y_m,true_z_m,position_error_m,clock_bias_m,mean_abs_residual_m,max_abs_residual_m,n_satellites,converged,n_iterations
11.0,0.0,-2693896.6459860164,-4297474.593992109,3854206.9321198533,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.482337119188408,15.619732399095309,6.851103863545826,12.033064600080252,7,True,2
12.0,0.0,-2693898.408009165,-4297462.79628684,3854203.6108026523,-2693926.04767216,-4297473.816608274,3854218.1603911705,33.12233356880945,13.47084874333587,9.523420747369528,16.889077454805374,7,True,2
13.0,0.0,-2693899.641835962,-4297474.800215921,3854206.635671401,-2693926.04767216,-4297473.816608274,3854218.1603911705,28.82802169916261,16.445482304228552,7.786496144852468,13.407863520085812,7,True,2
14.0,0.0,-2693892.401374272,-4297469.345549018,3854209.3384055193,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.069804152080124,15.001253586266227,2.894418197550944,5.288007166236639,7,True,2
15.0,0.0,-2693894.4754003338,-4297471.944563691,3854204.8606303358,-2693926.04767216,-4297473.816608274,3854218.1603911705,34.31029783394756,18.836596358433432,6.1073765861136575,10.471646849066019,7,True,2
16.0,0.0,-2693902.042174495,-4297467.285857159,3854195.291658025,-2693926.04767216,-4297473.816608274,3854218.1603911705,33.79191595600652,8.870532154104987,3.6205099608216966,6.512759141623974,7,True,2
17.0,0.0,-2693888.0357308756,-4297454.8520507505,3854199.1029666895,-2693926.04767216,-4297473.816608274,3854218.1603911705,46.55907591581093,4.940739169314778,5.0955472104251385,9.592875324189663,7,True,2
18.0,0.0,-2693886.3401920055,-4297454.580720646,3854198.900033783,-2693926.04767216,-4297473.816608274,3854218.1603911705,48.14213040305965,5.136105905039285,4.39040851646236,7.802788861095905,7,True,2
19.0,0.0,-2693896.0659385244,-4297486.98383153,3854222.1969490265,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.993543601628176,40.713363014021645,5.597270348109305,8.933233838528395,8,True,2
20.0,0.0,-2693892.65079131,-4297473.178484409,3854211.042000456,-2693926.04767216,-4297473.816608274,3854218.1603911705,34.15304289455631,23.591006632822392,2.5248991674743593,5.331812992691994,8,True,2
21.0,0.0,-2693887.745903841,-4297478.0645821495,3854212.882560076,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.89635252112297,27.41108660626839,3.041107604014022,6.3307741060853004,7,True,2
22.0,0.0,-2693890.4221296366,-4297474.837994934,3854216.0226055495,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.70423837798792,28.335867161401637,1.7629400715231895,3.2199364826083183,7,True,2
23.0,0.0,-2693887.6849607397,-4297476.097549586,3854223.742807351,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.8337957350797,36.917675535779075,4.473267348217113,8.312183890491724,7,True,2
24.0,0.0,-2693896.503054842,-4297470.191302967,3854206.122078084,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.1083825972731,23.380714874526106,2.828340293573482,4.443346284329891,7,True,2
25.0,0.0,-2693896.3781106924,-4297474.919847867,3854212.598268811,-2693926.04767216,-4297473.816608274,3854218.1603911705,30.206575781117987,30.102551694920127,3.117141503840685,5.8027247823774815,7,True,2
26.0,0.0,-2693901.1998762754,-4297474.831936295,3854205.211275422,-2693926.04767216,-4297473.816608274,3854218.1603911705,28.037893108801395,24.799596902599983,4.0302595144936015,7.777633335441351,7,True,2
27.0,0.0,-2693903.118795871,-4297506.632474224,3854244.012139294,-2693926.04767216,-4297473.816608274,3854218.1603911705,47.65424752259659,60.210813591167835,12.560172602999955,28.088827054947615,8,True,2
28.0,0.0,-2693909.0308176177,-4297524.21392275,3854250.8673386844,-2693926.04767216,-4297473.816608274,3854218.1603911705,62.443631064871866,81.1898208061136,10.427793270908296,27.85398980230093,8,True,2
29.0,0.0,-2693903.346424192,-4297508.9100842085,3854237.3110471466,-2693926.04767216,-4297473.816608274,3854218.1603911705,45.97440958561003,67.74595096227367,9.802567426580936,28.269321877509356,8,True,2
30.0,0.0,-2693910.03579855,-4297543.879231149,3854262.927515594,-2693926.04767216,-4297473.816608274,3854218.1603911705,84.67140396703802,101.62967497410736,15.328644360415637,29.551650535315275,8,True,2
31.0,0.0,-2693902.2178668957,-4297515.963553637,3854246.75329752,-2693926.04767216,-4297473.816608274,3854218.1603911705,56.22969781048331,79.90900055718396,9.88446118729189,23.482573967427015,8,True,2
32.0,0.0,-2693903.1002374296,-4297520.397286444,3854252.409861296,-2693926.04767216,-4297473.816608274,3854218.1603911705,62.20426467146318,88.43192843553673,12.62390466593206,28.037739351391792,8,True,2
33.0,0.0,-2693892.09937837,-4297468.38138093,3854205.632563694,-2693926.04767216,-4297473.816608274,3854218.1603911705,36.59200471152798,34.3583501089392,3.3078085455511297,7.149335473775864,7,True,2
34.0,0.0,-2693896.7408015872,-4297486.519332811,3854216.810013166,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.969913890743836,56.80288210263121,3.914139135075467,6.822139337658882,7,True,2
35.0,0.0,-2693897.569493382,-4297484.529244122,3854209.8237396013,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.547852426370493,49.92962191472467,2.015733923230852,5.132886979728937,7,True,2
36.0,0.0,-2693897.2949315207,-4297480.437208293,3854214.6959498394,-2693926.04767216,-4297473.816608274,3854218.1603911705,29.707823760960228,48.85248993367802,3.7685224637389183,7.81032108515501,7,True,2
37.0,0.0,-2693898.5904618255,-4297475.839597351,3854214.193985336,-2693926.04767216,-4297473.816608274,3854218.1603911705,27.815881424111094,48.11919952696229,4.137070683496339,7.360222402960062,7,True,2
38.0,0.0,-2693893.251642886,-4297466.020166262,3854207.5188410017,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.3497755888376,38.390270748893606,2.1437431472752775,3.8306958749890327,7,True,2
39.0,0.0,-2693898.981822894,-4297481.166504263,3854214.098926813,-2693926.04767216,-4297473.816608274,3854218.1603911705,28.33860723928148,54.025929184455904,2.4537593216768334,5.519090160727501,7,True,2
40.0,0.0,-2693899.494330515,-4297471.105942704,3854207.086741819,-2693926.04767216,-4297473.816608274,3854218.1603911705,28.897290016564792,44.98436084084454,4.870778612792492,9.034979574382305,7,True,2
41.0,0.0,-2693906.182417468,-4297497.658788813,3854230.327961158,-2693926.04767216,-4297473.816608274,3854218.1603911705,33.33358180905347,73.3351469944439,9.956058647017926,17.974358096718788,8,True,2
42.0,0.0,-2693901.9992168806,-4297470.078639421,3854208.400865174,-2693926.04767216,-4297473.816608274,3854218.1603911705,26.221154821088124,46.29291049688163,4.134386992348092,6.998879007995129,7,True,2
43.0,0.0,-2693897.867282834,-4297462.398000285,3854206.649486326,-2693926.04767216,-4297473.816608274,3854218.1603911705,32.51184217049261,43.16554058040373,5.900321024336985,9.657815728336573,7,True,2
44.0,0.0,-2693903.4091308294,-4297478.325034067,3854213.7281725616,-2693926.04767216,-4297473.816608274,3854218.1603911705,23.50476586783655,56.32595666216056,4.446960940957069,8.279493398964405,7,True,2
