attack,n_epochs,raw_mean_error_m,kalman_mean_error_m,raw_max_error_m,kalman_max_error_m
step,240,145.8210352392392,1.845419165776988,188.12450146560738,1.8454191657769876
drift,240,6289.441677600409,3.758289533390997,11578.39382160207,3.7620763096767407
evasive,300,242.85251871243915,56.97611929314778,416.6488646033488,71.81942711961376
