t,n_satellites,n_abnormal_20m,n_abnormal_50m,n_relative_abnormal,abnormal_fraction_20m,abnormal_fraction_50m,relative_abnormal_fraction,mean_abs_residual_m,median_abs_residual_m,max_abs_residual_m,mean_signed_residual_m,median_signed_residual_m,sign_consistency,multi_satellite_event,coordinated_event
0.0,7,0,0,2,0.0,0.0,0.2857142857142857,6.398881737674985,2.932157300412655,13.847241826355456,-2.5376526277146434e-16,2.731909368187189,0.5714285714285714,False,False
1.0,7,0,0,0,0.0,0.0,0.0,1.1072288155555725,1.3922648467123508,1.7062267065048218,-2.128737313406808e-09,0.2795578278601169,0.5714285714285714,False,False
2.0,6,0,0,0,0.0,0.0,0.0,2.0611474936207137,2.006261680275202,4.204764377325773,0.0,-0.4907638020813465,0.6666666666666666,False,False
3.0,8,1,0,3,0.125,0.0,0.375,10.244193027727306,6.381885772570968,23.99586128816009,-9.313225746154785e-10,1.5429622493684292,0.5,False,False
4.0,7,0,0,0,0.0,0.0,0.0,5.58354947875653,6.155111450701952,9.37056853249669,5.321843917930177e-10,2.3589514642953877,0.5714285714285714,False,False
5.0,7,0,0,0,0.0,0.0,0.0,3.5861508920788765,4.416816618293524,6.777882311493158,0.0,0.814598809927702,0.7142857142857143,False,False
6.0,8,0,0,2,0.0,0.0,0.25,7.620859134476632,7.4826855175197124,13.221628151834013,-4.6566106526313433e-10,-3.219641227275133,0.625,False,False
7.0,7,0,0,0,0.0,0.0,0.0,2.9664595249508108,3.0162218250334263,6.119929015636444,-5.32184328351702e-10,0.4681017994880676,0.5714285714285714,False,False
8.0,7,0,0,3,0.0,0.0,0.42857142857142855,7.957362502281155,10.260069720447063,13.239811476320028,1.596552985055106e-09,-2.8546087667346,0.5714285714285714,False,False
9.0,7,0,0,0,0.0,0.0,0.0,5.3183590695261955,6.567547336220741,11.802870281040668,2.1287373253020547e-09,-0.0654498226940631,0.5714285714285714,False,False
10.0,7,0,0,2,0.0,0.0,0.2857142857142857,7.219444690538304,9.44839821383357,12.88599343970418,-2.660921387993247e-09,0.97878048568964,0.5714285714285714,False,False
11.0,7,0,0,1,0.0,0.0,0.14285714285714285,6.851103861417089,6.282546404749155,12.033064600080252,0.0,2.036925159394741,0.5714285714285714,False,False
12.0,7,0,0,3,0.0,0.0,0.42857142857142855,9.523420747901712,8.558079317212105,16.889077454805374,0.0,-2.6825828924775124,0.7142857142857143,False,False
13.0,7,0,0,2,0.0,0.0,0.2857142857142857,7.7864961469812055,10.342640426009892,13.40786350890994,-4.789658701400055e-09,-1.2480168379843235,0.5714285714285714,False,False
