attack_bias_m,mean_delta_clock_m,median_delta_clock_m,mean_delta_position_m,median_delta_position_m,p95_delta_position_m,mean_delta_residual_m,median_delta_residual_m,max_delta_residual_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.000000000001117,10.0,2.770968683771135e-13,0.0,0.0,1.7373533601215715e-13,0.0,3.725290298461914e-09
50.0,49.999999999999325,50.0,2.9385253794104666e-12,0.0,0.0,-4.3983633886004656e-13,0.0,0.0
100.0,99.99999999999973,100.0,1.8011296444512377e-12,0.0,0.0,2.9688955845980014e-13,0.0,3.725290298461914e-09
500.0,499.99999999999716,500.0,6.891920947522236e-12,0.0,0.0,-4.200437809074432e-13,0.0,0.0
1000.0,999.9999999999983,1000.0,5.6573458892590016e-12,0.0,0.0,-4.552308148611268e-13,0.0,3.725290298461914e-09
