t,attack_configuration,attack_bias_m,n_attacked_satellites,attack_fraction,clean_position_error_m,attack_position_error_m,delta_position_m,clean_clock_bias_m,attack_clock_bias_m,delta_clock_bias_m,clean_mean_abs_residual_m,attack_mean_abs_residual_m,delta_mean_abs_residual_m,clean_max_abs_residual_m,attack_max_abs_residual_m,n_abnormal_20m,n_abnormal_50m,sign_consistency,clean_converged,attack_converged,time_minutes,temporal_attack_bias_m,attack_active,attack_phase
28.0,3_satellites,20.0,3,0.375,62.44363106464805,45.45122546472818,31.091685687823045,81.18982080506197,69.81569843865226,-11.374122366409708,10.427793270442637,15.618962049484251,5.943712189327925,27.85398979857564,36.1243562400341,2,0,0.5,True,True,0.4666666666666667,20.0,True,20m
29.0,3_satellites,20.0,3,0.375,45.97440958223365,39.56476675527124,31.091226909200213,67.74595096135475,56.37148908882711,-11.37446187252764,9.802567426115274,14.99398612556979,5.944187241140753,28.269321873784065,36.54069369286299,2,0,0.5,True,True,0.48333333333333334,20.0,True,20m
30.0,3_satellites,20.0,3,0.375,84.67140397214229,63.89716978429074,31.09070525063697,101.62967497611014,90.25495946395556,-11.37471551215458,15.328644359018654,19.299084693659097,5.9446577010676265,29.551650531589985,37.8240172713995,4,0,0.625,True,True,0.5,20.0,True,20m
31.0,3_satellites,20.0,3,0.375,56.22969780879851,44.38928455265437,31.09025625458729,79.90900055962294,68.53393302203276,-11.375067537590184,9.884461185894908,12.888552674092352,4.693269764073193,23.482573971152306,31.755947776138783,2,0,0.5,True,True,0.5166666666666667,20.0,True,20m
32.0,3_satellites,20.0,3,0.375,62.20426467019663,47.39736527620875,31.089763736498192,88.43192843190073,77.05656436537238,-11.375364066528348,12.62390466593206,14.56833223393187,4.093704861123115,28.037739351391792,36.31211498379707,2,0,0.625,True,True,0.5333333333333333,20.0,True,20m
33.0,3_satellites,20.0,3,0.4285714285714285,36.59200471478296,77.61076638456373,49.05151868426808,34.358350107601304,9.396669306111862,-24.961680801489443,3.307808544486761,5.673815246139254,3.213510072124856,7.149335470050573,12.749136634171007,0,0,0.5714285714285714,True,True,0.55,20.0,True,20m
34.0,3_satellites,20.0,3,0.4285714285714285,31.96991389293433,60.42673780201255,49.04717824311934,56.80288209580094,31.84354601319656,-24.95933608260438,3.914139135075467,1.0771941068981374,3.070279722767217,6.822139341384172,2.1465998999774456,0,0,0.5714285714285714,True,True,0.5666666666666667,20.0,True,20m
35.0,3_satellites,20.0,3,0.4285714285714285,31.54785242683046,64.78263806995345,49.0428844675691,49.92962191433055,24.972569090029012,-24.95705282430153,2.015733924295221,3.851410657699619,3.3951975016721656,5.132886979728937,7.304320339113474,0,0,0.7142857142857143,True,True,0.5833333333333334,20.0,True,20m
36.0,3_satellites,20.0,3,0.4285714285714285,29.707823762539174,63.41141098743719,49.03857753584612,48.8524899340673,23.8977376944761,-24.9547522395912,3.768522461610181,2.9319984300860336,3.2136335016361306,7.8103210888803005,7.023370787501335,0,0,0.5714285714285714,True,True,0.6,20.0,True,20m
37.0,3_satellites,20.0,3,0.4285714285714285,27.815881423788237,64.76976058892907,49.034273641898174,48.11919952917504,23.166742341091588,-24.952457188083454,4.137070681367602,1.5567340276071004,2.9946990332433154,7.360222399234772,3.537416834384203,0,0,0.5714285714285714,True,True,0.6166666666666667,20.0,True,20m
38.0,3_satellites,20.0,3,0.4285714285714285,35.34977558792954,76.90524445001346,49.02997038089868,38.39027075022335,13.440098018472996,-24.95017273175036,2.1437431467430934,4.107109557305064,2.536439072872912,3.8306958712637424,8.122606366872787,0,0,0.5714285714285714,True,True,0.6333333333333333,20.0,True,20m
39.0,3_satellites,20.0,3,0.4285714285714285,28.338607237279856,62.28744135992645,49.02559298163068,54.02592918517856,29.078124740693543,-24.94780444448501,2.4537593200802803,2.6748492419719696,2.000122746186597,5.519090157002211,5.418570175766945,0,0,0.7142857142857143,True,True,0.65,20.0,True,20m
40.0,3_satellites,20.0,3,0.4285714285714285,28.897290023188752,70.75628903358658,49.02128910988668,44.98436083394491,20.03884433069586,-24.945516503249053,4.870778611728123,1.8693001600248476,3.797414809465408,9.034979574382303,4.2244518622756,0,0,0.5714285714285714,True,True,0.6666666666666666,20.0,True,20m
41.0,3_satellites,20.0,3,0.375,33.333581807152406,34.571056056241375,31.0853226205946,73.33514699176844,61.9570650664221,-11.378081925346336,9.956058646552265,10.042486985679716,5.949886785354465,17.974358096718788,26.257747568190094,1,0,0.625,True,True,0.6833333333333333,20.0,True,20m
42.0,3_satellites,20.0,3,0.4285714285714285,26.221154821567527,68.94585368875109,49.01257313534322,46.29291049771114,21.35207244545491,-24.940838052256236,4.134386992348092,3.2713506844426905,3.231679702443736,6.998879011720419,7.53036767989397,0,0,0.5714285714285714,True,True,0.7,20.0,True,20m
43.0,3_satellites,20.0,3,0.4285714285714285,32.511842175446816,76.54036214654123,49.00822331378931,43.16554057667498,18.22702837766352,-24.938512199011456,5.900321024336985,4.601691483386925,3.4391714031142846,9.657815724611282,11.062560882419348,0,0,0.5714285714285714,True,True,0.7166666666666667,20.0,True,20m
44.0,3_satellites,20.0,3,0.4285714285714285,23.504765868739188,60.740296379063935,49.00379721625818,56.32595666463269,31.389850863783487,-24.936105800849205,4.4469609414892535,1.5151285177895002,3.733388672449759,8.279493398964405,3.2992016784846783,0,0,0.7142857142857143,True,True,0.7333333333333333,20.0,True,20m
45.0,3_satellites,20.0,3,0.4285714285714285,24.990609763068026,56.528432968339885,48.99938765311547,58.8907714837284,33.957048738446545,-24.93372274528185,3.150302234504904,4.29830389469862,2.415707487080778,6.540147043764591,6.911945570260286,0,0,0.5714285714285714,True,True,0.75,20.0,True,20m
46.0,3_satellites,20.0,3,0.4285714285714285,31.701052561092663,72.26246606728311,48.99504090515018,49.10980632653958,24.17839936960431,-24.931406956935263,5.958822643118245,3.434134325810841,3.800038048199245,10.624606922268867,7.777893278747797,0,0,0.7142857142857143,True,True,0.7666666666666667,20.0,True,20m
47.0,3_satellites,20.0,3,0.4285714285714285,31.527947229667657,72.05943127456831,48.99062816323281,45.20478141248769,20.27575498166287,-24.92902643082482,3.827318768948317,3.531787812177624,2.0858001027788435,6.888467948883772,5.54567714035511,0,0,0.5714285714285714,True,True,0.7833333333333333,20.0,True,20m
48.0,3_satellites,20.0,3,0.4285714285714285,35.331170128498584,72.47369654143976,48.98620615350499,49.030218065443016,24.103581355188428,-24.926636710254588,5.555398367345333,5.445516408021961,2.5836749241820405,12.013625912368298,10.023011073470116,0,0,0.5714285714285714,True,True,0.8,20.0,True,20m
49.0,3_satellites,20.0,3,0.4285714285714285,38.694193484566064,79.07448930284643,48.98178824444044,40.86611362216296,15.94185354143377,-24.924260080729184,2.608998656272888,5.919562210461923,3.87888128682971,5.977044273167849,12.276190016418695,0,0,0.5714285714285714,True,True,0.8166666666666667,20.0,True,20m
50.0,3_satellites,20.0,3,0.4285714285714285,41.76678218482306,59.89806762942605,48.977275991189074,68.41298122375417,43.49120562154258,-24.92177560221159,6.348197584173509,4.825549061277083,3.992478234427316,13.314290218055248,9.292030707001686,0,0,0.5714285714285714,True,True,0.8333333333333334,20.0,True,20m
51.0,3_satellites,20.0,3,0.4285714285714285,29.271836574739964,59.08755363724188,48.972885948671845,63.08459487633164,38.165177422553256,-24.919417453778387,7.35799592094762,3.6058204786053727,4.563606242516211,13.86181441321969,6.4176761247217655,0,0,0.5714285714285714,True,True,0.85,20.0,True,20m
52.0,3_satellites,20.0,3,0.4285714285714285,34.00958652123224,58.45288177315841,48.96840578683467,62.933781784297466,38.01679908467344,-24.916982699624025,5.256929900497198,5.2239894941449165,3.0706657400088653,12.516258038580418,9.45982801169157,0,0,0.5714285714285714,True,True,0.8666666666666667,20.0,True,20m
53.0,3_satellites,20.0,3,0.4285714285714285,35.117257578872,63.60254208415064,48.9639727480377,60.65272734825452,35.73813702649286,-24.914590321761658,5.204364126282079,2.0850948228367736,3.5429318541926995,9.017255812883375,4.373339034616947,0,0,0.5714285714285714,True,True,0.8833333333333333,20.0,True,20m
54.0,3_satellites,20.0,3,0.4285714285714285,39.04242438716746,63.06892926843701,48.95947609048201,60.55759238593175,35.64544918669415,-24.9121431992376,5.697725724428892,7.524256163941962,3.9885268583893776,11.906935345381498,14.727404959499836,0,0,0.5714285714285714,True,True,0.9,20.0,True,20m
55.0,3_satellites,20.0,3,0.4285714285714285,34.427356623074054,62.33231737046229,48.955012487138674,55.190105658175945,30.280380389803536,-24.90972526837241,5.114581917013441,7.519742436174836,4.569111532930817,8.032660588622093,14.410696484148502,0,0,0.5714285714285714,True,True,0.9166666666666666,20.0,True,20m
56.0,3_satellites,20.0,3,0.4285714285714285,35.24938291487156,55.445980889715095,48.950526799958645,61.781500567978775,36.87422228151184,-24.90727828646694,6.863594351602452,2.85842712489622,4.570487851543086,11.228354286402464,5.023512080311775,0,0,0.5714285714285714,True,True,0.9333333333333333,20.0,True,20m
57.0,3_satellites,20.0,3,0.4285714285714285,35.46032258568599,51.80541729625699,48.94602395894175,65.44029247610757,40.53546808420499,-24.90482439190258,6.087006894073316,2.46408253375973,4.18781878426671,10.96046382561326,4.880533620715141,0,0,0.7142857142857143,True,True,0.95,20.0,True,20m
58.0,3_satellites,20.0,3,0.4285714285714285,41.82651183603009,51.480800268285336,48.9414914385506,69.37757531399085,44.4752272683823,-24.902348045608548,4.502053879201412,6.778293372264931,4.44606064260006,8.720581747591496,11.742169104516506,0,0,0.5714285714285714,True,True,0.9666666666666667,20.0,True,20m
59.0,3_satellites,20.0,3,0.4285714285714285,29.744721405530758,57.92650963811262,48.93704167212093,58.766282721008686,33.86633108130905,-24.89995163969964,2.6010870949498246,4.049554416111538,2.575591305004699,4.25001048669219,7.34876948595047,0,0,0.5714285714285714,True,True,0.9833333333333333,20.0,True,20m
60.0,3_satellites,20.0,3,0.4285714285714285,29.14890089064345,61.71857933475332,48.93253256092501,53.05446451518646,28.15696323445134,-24.89750128073512,2.895764979932989,5.839665236217635,4.034379616379738,4.448639798909426,11.175672493875028,0,0,0.7142857142857143,True,True,1.0,20.0,True,20m
61.0,3_satellites,20.0,3,0.4285714285714285,30.08945269886129,57.57443547693924,48.92799247976066,54.09658299032,29.201565774188147,-24.895017216131848,2.6974910678608075,5.744145072464432,3.639796078737293,5.506439197808504,10.303141176700592,0,0,0.7142857142857143,True,True,1.0166666666666666,20.0,True,20m
