t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
300.0,1137300.664137449,5162882.242352354,3562429.792992379,-4.902714252676293,6,True,0.9064801198740801,0.9999301507361287,1137298.8822176435,5162886.620697808,3562431.59074579,1137300.664137449,5162882.242352354,3562429.792992379,8.792027329268603,3.9117216635130987
330.0,1137296.9348957108,5162888.250031532,3562433.599252646,0.7006247981886746,6,True,0.3382136896252632,0.9999827158067165,1137298.3459419352,5162887.0694023,3562432.1438713,1137296.9348957108,5162888.250031532,3562433.599252646,3.2328500088432377,3.445921939973492
360.0,1137295.675603725,5162887.114025314,3562417.835639684,-0.31032588345992157,6,True,0.8562999094525973,0.9998902152264738,1137297.6319329487,5162887.081333835,3562428.3180615515,1137295.675603725,5162887.114025314,3562417.835639684,14.776847585787797,5.057996384250882
390.0,1137300.0991999716,5162884.249754001,3562439.1408311157,-3.25652331310384,6,True,0.3922200488547484,0.9999581465832668,1137298.307041287,5162886.30654005,3562431.279452397,1137300.0991999716,5162884.249754001,3562439.1408311157,9.67066963730965,4.253113068182494
420.0,1137298.4423284456,5162882.450142692,3562428.534607063,-4.757240572401203,6,True,0.4118347292145093,0.9999435787193538,1137298.3438355827,5162885.257708611,3562430.532931794,1137298.4423284456,5162882.450142692,3562428.534607063,8.73987421734504,5.431747379388925
450.0,1137301.6942906305,5162904.77559284,3562427.418110313,17.7656014931101,6,True,0.9174383369584879,0.9999556759794104,1137299.258075013,5162890.583558116,3562429.6829897487,1137301.6942906305,5162904.77559284,3562427.418110313,15.296686859750094,2.358969658783172
480.0,1137302.3559370802,5162899.356714171,3562431.636976594,10.769204474360766,6,True,0.2945501171052456,0.9999730301722626,1137300.1069520863,5162892.987580914,3562430.2184217977,1137302.3559370802,5162899.356714171,3562431.636976594,9.644032235827115,3.3978812778129823
510.0,1137296.9064283767,5162889.3819241095,3562422.991898511,1.6590849946126356,6,True,0.47468343128760654,0.9999576947299088,1137299.235022737,5162892.005279805,3562428.249675955,1137296.9064283767,5162889.3819241095,3562422.991898511,9.155479180942196,4.034574809808177
540.0,1137300.2643317431,5162902.512845416,3562420.9236059254,15.411337462908202,6,True,0.4908024271329244,0.9999396743187949,1137299.51403218,5162894.8535110075,3562426.2638362255,1137300.2643317431,5162902.512845416,3562420.9236059254,16.380867398842714,7.209112400714743
570.0,1137299.2232079084,5162894.7324331645,3562430.552695991,7.2772111083469815,6,True,0.6941384176413218,0.9999790468722799,1137299.434216607,5162894.820281671,3562427.4408968557,1137299.2232079084,5162894.7324331645,3562430.552695991,4.499589988970623,6.291420010562952
